rollout_id,rank,mb_idx,total_tokens
7,2,21,8343
7,2,22,8343
7,2,23,8343
7,2,24,8355
7,2,25,7352
7,3,0,8665
7,3,1,8357
7,3,2,7823
7,3,3,8386
7,3,4,8339
7,3,5,8339
7,3,6,8364
7,3,7,8408
7,3,8,8408
7,3,9,6839
7,3,10,8302
7,3,11,8642
7,3,12,8311
7,3,13,8024
7,3,14,8324
7,3,15,8935
7,3,16,6987
7,3,17,8557
7,3,18,8343
7,3,19,8343
7,3,20,6219
7,3,21,8355
7,3,22,8214
7,3,23,8355
7,3,24,8373
7,3,25,3503
8,0,0,8281
8,0,1,8044
8,0,2,8411
8,0,3,8313
8,0,4,3086
8,0,5,8307
8,0,6,8333
8,0,7,8297
8,0,8,8123
8,0,9,8310
8,0,10,8310
8,0,11,5328
8,0,12,8367
8,0,13,8367
8,0,14,5773
8,0,15,6635
8,0,16,7325
8,0,17,8380
8,0,18,8380
8,0,19,6878
8,0,20,8278
8,0,21,7329
8,0,22,8405
8,0,23,8405
8,0,24,8405
8,0,25,7747
8,0,26,7966
8,0,27,8337
8,0,28,8337
8,0,29,8456
8,0,30,8456
8,1,0,4110
8,1,1,8281
8,1,2,4944
8,1,3,8411
8,1,4,6414
8,1,5,8307
8,1,6,8307
8,1,7,8333
8,1,8,8333
8,1,9,7552
8,1,10,8310
8,1,11,6832
8,1,12,5490
8,1,13,8367
8,1,14,8367
8,1,15,7630
8,1,16,7990
8,1,17,6991
8,1,18,8380
8,1,19,8380
8,1,20,8278
8,1,21,8278
8,1,22,8405
8,1,23,8405
8,1,24,8349
8,1,25,8312
8,1,26,8027
8,1,27,8337
8,1,28,8337
8,1,29,8456
8,1,30,8456
8,2,0,8281
8,2,1,8411
8,2,2,8411
8,2,3,8046
8,2,4,8227
8,2,5,6849
8,2,6,8333
8,2,7,8333
8,2,8,8333
8,2,9,7047
8,2,10,8297
8,2,11,8310
8,2,12,8310
8,2,13,8310
8,2,14,7501
8,2,15,7568
8,2,16,8367
8,2,17,8367
8,2,18,4904
8,2,19,8380
8,2,20,8380
8,2,21,8278
8,2,22,7960
8,2,23,8405
8,2,24,6238
8,2,25,8337
8,2,26,8337
8,2,27,8456
8,2,28,8456
8,2,29,4605
8,2,30,5331
8,3,0,8281
8,3,1,8411
8,3,2,8411
8,3,3,7928
8,3,4,8307
8,3,5,7921
8,3,6,7111
8,3,7,8333
8,3,8,8333
8,3,9,6731
8,3,10,6487
8,3,11,8297
8,3,12,8310
8,3,13,8310
8,3,14,7462
8,3,15,5756
8,3,16,8367
8,3,17,8367
8,3,18,5090
8,3,19,8380
8,3,20,8380
8,3,21,8278
8,3,22,8278
8,3,23,8405
8,3,24,8349
8,3,25,8094
8,3,26,8337
8,3,27,8337
8,3,28,8456
8,3,29,8456
8,3,30,3404
9,0,0,7796
9,0,1,8289
9,0,2,8289
9,0,3,8855
9,0,4,8235
9,0,5,6578
9,0,6,8309
9,0,7,6492
9,0,8,6954
9,0,9,7853
9,0,10,7547
9,0,11,8027
9,0,12,8302
9,0,13,8302
9,0,14,8365
9,0,15,8303
9,0,16,8372
9,0,17,9122
9,0,18,8374
9,0,19,6099
9,0,20,7238
9,0,21,9061
9,0,22,7211
9,0,23,8991
9,0,24,8441
9,0,25,2568
9,1,0,8289
9,1,1,8289
9,1,2,6940
9,1,3,7391
9,1,4,8302
9,1,5,8365
9,1,6,8365
9,1,7,8365
9,1,8,9080
9,1,9,7765
9,1,10,6398
9,1,11,8303
9,1,12,8303
9,1,13,8022
9,1,14,8985
9,1,15,8920
9,1,16,9118
9,1,17,8374
9,1,18,8374
9,1,19,5676
9,1,20,8285
9,1,21,6575
9,1,22,7080
9,1,23,7457
9,1,24,7894
9,1,25,3057
9,2,0,8584
9,2,1,8040
9,2,2,7632
9,2,3,9122
9,2,4,8983
9,2,5,8289
9,2,6,8289
9,2,7,6963
9,2,8,8348
9,2,9,6544
9,2,10,6134
9,2,11,8997
9,2,12,5077
9,2,13,7213
9,2,14,7812
9,2,15,8302
9,2,16,8365
9,2,17,8365
9,2,18,8303
9,2,19,7441
9,2,20,7913
9,2,21,8303
9,2,22,5546
9,2,23,8374
9,2,24,8374
9,2,25,6659
9,3,0,8221
9,3,1,8989
9,3,2,8289
9,3,3,8289
9,3,4,7215
9,3,5,6964
9,3,6,7456
9,3,7,8747
9,3,8,6689
9,3,9,8302
9,3,10,6617
9,3,11,8302
9,3,12,8365
9,3,13,8365
9,3,14,9067
9,3,15,6266
9,3,16,7996
9,3,17,8303
9,3,18,8374
9,3,19,8374
9,3,20,8374
9,3,21,7846
9,3,22,9094
9,3,23,5593
9,3,24,7756
9,3,25,4119
10,0,0,8316
10,0,1,8316
10,0,2,8652
10,0,3,8893
10,0,4,8351
10,0,5,8351
10,0,6,8325
10,0,7,7446
10,0,8,7942
10,0,9,8392
10,0,10,8442
10,0,11,8442
10,0,12,8321
10,0,13,8321
10,0,14,8316
10,0,15,8316
10,0,16,8347
10,0,17,8347
10,0,18,8392
10,0,19,8392
10,0,20,8333
10,0,21,8319
10,0,22,8319
10,0,23,8305
10,0,24,8305
10,0,25,5199
10,0,26,9046
10,0,27,5249
10,1,0,8316
10,1,1,8316
10,1,2,8754
10,1,3,7524
10,1,4,9090
10,1,5,8351
10,1,6,8351
10,1,7,8122
10,1,8,8325
10,1,9,8392
10,1,10,8442
10,1,11,8442
10,1,12,8321
10,1,13,8321
10,1,14,8316
10,1,15,8316
10,1,16,8347
10,1,17,8347
10,1,18,8392
10,1,19,8392
10,1,20,8906
10,1,21,8333
10,1,22,8319
10,1,23,8319
10,1,24,8305
10,1,25,8305
10,1,26,5556
10,1,27,4014
10,2,0,8316
10,2,1,8316
10,2,2,8316
10,2,3,8949
10,2,4,8351
10,2,5,8891
10,2,6,8325
10,2,7,8392
10,2,8,8167
10,2,9,6799
10,2,10,8442
10,2,11,8442
10,2,12,8321
10,2,13,8321
10,2,14,8321
10,2,15,8316
10,2,16,8316
10,2,17,8347
10,2,18,8347
10,2,19,8392
10,2,20,8392
10,2,21,8333
10,2,22,7847
10,2,23,9177
10,2,24,8319
10,2,25,8305
10,2,26,8529
10,2,27,1741
10,3,0,8316
10,3,1,8771
10,3,2,8614
10,3,3,8351
10,3,4,8325
10,3,5,7589
10,3,6,8325
10,3,7,8392
10,3,8,8959
10,3,9,8442
10,3,10,8442
10,3,11,8321
10,3,12,8316
10,3,13,8316
10,3,14,8347
10,3,15,8347
10,3,16,8392
10,3,17,8392
10,3,18,9168
10,3,19,8333
10,3,20,8319
10,3,21,8319
10,3,22,8319
10,3,23,6303
10,3,24,8305
10,3,25,8305
10,3,26,8305
10,3,27,2397
11,0,0,8380
11,0,1,7974
11,0,2,7135
11,0,3,8292
11,0,4,8173
11,0,5,8292
11,0,6,6902
11,0,7,6233
11,0,8,8467
11,0,9,8789
11,0,10,8405
11,0,11,5365
11,0,12,6553
11,0,13,4687
11,0,14,6426
11,0,15,8325
11,0,16,7547
11,0,17,8325
11,0,18,5593
11,0,19,8349
11,0,20,8349
11,0,21,8344
11,0,22,8344
11,0,23,8343
